Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
393,1653,Savanna Spinka,Mr,,12/26/1965,Male,5,Married,6,4/1/2013,\N,Active,,\N,393,\N,Staff,Contarct Basis,Muslim,Project Manager,,,
394,1730,Carley Bogisich,Mr,,3/18/1993,Male,1,Married,46,6/27/2013,12/17/2021,Inactive,RESIGN,12/17/2021,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Crane,,,
396,1769,Jaquelin Block,Mr,,10/19/1993,Male,1,Single,67,8/21/2013,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Loader,,,
397,1810,Freeman Kub,Mr,,5/7/1982,Male,3,Married,50,11/25/2013,10/13/2022,Inactive,Resign,10/13/2022,2709,\N,Staff,Contarct Basis,Hindu,Superv Cum Pipe Fitter,,,
399,1870,Garland Feeney,Mr,,2/10/1989,Male,3,Married,27,1/28/2014,8/31/2021,Inactive,RESIGN,8/31/2021,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,,,
400,1872,Elody Waelchi,Mr,,1/15/1988,Male,3,Single,27,1/24/2014,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,,,
401,1888,Nola Grant,Mr,Gintota,12/17/1972,Male,1,Married,7,2/25/2014,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,,,
402,1900,Macie Kuvalis,Mr,,7/25/1995,Male,1,Single,24,2/22/2014,0000-00-00,Inactive,Resign,8/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
403,2009,Julie Osinski,Mr,,11/8/1992,Male,1,Married,43,5/3/2014,\N,Inactive,Resign,8/28/2020,\N,\N,Staff,Contarct Basis,Buddhist,Operator - JCB,,,
404,2026,Jody Stokes,Mr,,12/15/1987,Male,1,Single,36,6/4/2014,0000-00-00,Active,,0000-00-00,673,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,,,
405,2034,Scottie Ratke,Mr,,0000-00-00,Male,1,,27,6/9/2014,0000-00-00,Inactive,Resign,12/5/2019,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,,,
407,2151,Braulio Pagac IV,Mr,,1/6/1990,Male,3,Single,8,9/17/2014,0000-00-00,Inactive,Resign,6/22/2020,\N,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,,,
408,2186,Jon Kuhn,Mr,Gampola,2/5/1990,Male,1,Single,8,10/1/2014,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,,,
410,2284,Ally Nikolaus,Mr,"Rejjipura,Boossa",7/21/1995,Male,1,Single,52,2/5/2015,5/30/2021,Inactive,RESIGN,5/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Moter Mechanic,,,
411,2301,Jesus Dietrich Sr,Mr,,0000-00-00,Male,1,Married,24,4/28/2015,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
413,2313,Addie Purdy,Mr,Ampara,4/18/1997,Male,1,Single,35,5/1/2015,0000-00-00,Inactive,RESIGN,8/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,,,
414,2333,Noelia Roberts DDS,Mr,,3/4/1985,Male,3,Single,54,6/2/2016,\N,Inactive,Resign,10/6/2020,\N,\N,Staff,Contarct Basis,Hindu,Lab Technician,,,
