Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
749,75099,Miss Frances Barton IV,Mr,,1/24/1951,Male,1,Married,135,10/1/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Wacher,,,
750,75231,Dallin Feeney,Mr,Anuradhapura,10/29/1958,Male,1,Married,37,12/8/2019,\N,Inactive,Resign,8/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Driver-Tractor,,,
751,194001,Kristina Bahringer,Mr,,5/11/1978,Male,1,Married,43,1/4/2020,\N,Inactive,Resign,4/24/2020,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,,,
752,194003,Mr German Spinka DDS,Mr,Mahawa,2/14/1999,Male,1,Single,31,2/5/2020,\N,Inactive,Resign,3/17/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
753,661,Dr Marco Casper,Mr,,6/5/1963,Male,1,Married,102,5/14/2007,0000-00-00,Inactive,Resign,2/28/2020,\N,\N,Staff,Contarct Basis,Buddhist,Tractor Driver,,,
754,4437,Herman Cronin,Mr,,0000-00-00,Male,1,Single,31,1/1/2019,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
755,4622,Lorine Grimes,Mr,,0000-00-00,Male,1,Married,31,2/27/2019,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
756,182001,Adah Tromp,Mr,,0000-00-00,Male,3,Married,123,1/1/2020,\N,Inactive,RESIGNED,3/21/2020,\N,\N,Labour,Contarct Basis,Hindu,Carpenter,,,
757,5013,Lisa Jaskolski,Mr,,0000-00-00,Male,1,Married,123,7/1/2020,4/30/2022,Inactive,RESIGN,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Carpenter,,,
758,182004,Leon Trantow,Ms,,0000-00-00,Female,1,Married,29,2/1/2020,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Cook,,,
759,3714,Bradley Stehr,Mr,Panwila,10/15/1980,Male,1,Married,31,1/1/2019,11/23/2020,Inactive,Resign,11/23/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
760,179022,Myrtle Hammes,Mr,"Okkampitiya, Monaragala",8/8/1967,Male,1,Married,30,12/7/2020,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
761,4974,Vanessa Tremblay IV,Mr,Kadugannawa,4/3/1993,Male,1,Single,38,6/1/2020,5/17/2022,Inactive,RESIGN,5/17/2022,\N,\N,Labour,Contarct Basis,Buddhist,Office Assistant,,,
762,70028,Hulda Leannon III,Mr,Panwila,6/27/1952,Male,1,Married,134,7/1/2019,12/19/2020,Inactive,Resign,12/19/2020,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,,,
764,75232,Nelson Considine,Mr,Dangolla,2/26/2003,Male,1,Single,31,12/28/2019,0000-00-00,Inactive,Resigned,3/19/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
765,75233,Prof Garret Blanda I,Mr,Kandy,10/16/2003,Male,1,Single,31,12/28/2019,\N,Inactive,Resigned,3/19/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
766,5021,Ethel Smitham,Mr,Kandy,5/15/1958,Male,1,Married,1,1/20/2020,4/30/2022,Inactive,RESIGN,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
767,5022,Sierra Marks,Mr,Kandy,9/11/1993,Male,1,Married,31,1/22/2020,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
770,191001,Elenor Nitzsche,Mr,,10/11/1964,Male,1,Married,31,2/12/2020,\N,Inactive,Resigned,7/21/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
771,187020,Prof Vada Gutkowski,Mr,Eravur 01A,0000-00-00,Male,5,Married,31,2/4/2019,7/27/2021,Inactive,RESIGN,7/27/2021,\N,\N,Labour,Contarct Basis,Muslim,Unskilled Labor,,,
772,3977,Theron Nader,Mr,,0000-00-00,Male,3,Single,31,1/1/2020,10/31/2021,Inactive,RESIGN,10/31/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
773,4793,Dr Robbie Upton,Mr,,8/8/1964,Male,1,Married,29,6/1/2019,\N,Inactive,resigned,3/9/2020,\N,\N,Labour,Contarct Basis,Buddhist,Cook,,,
774,5142,Prof Bryon Schowalter Sr,Mr,,7/10/1971,Male,1,Married,31,8/1/2019,4/29/2021,Inactive,Resign,4/29/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
775,75001,Kayla Mohr,Mr,,3/10/1978,Male,1,Married,55,10/1/2019,\N,Inactive,resigned,3/13/2020,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,,,
776,75008,Ms Trisha Barrows DVM,Mr,,5/6/1997,Male,1,Single,55,10/28/2019,12/12/2020,Inactive,RESIGN,12/12/2020,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,,,
777,196039,Evert Christiansen,Mr,,12/21/2001,Male,1,Single,31,8/14/2020,\N,Inactive,Resign,9/22/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
778,4989,Rosina Feil DVM,Mr,,1/19/1961,Male,1,Married,31,6/1/2020,6/8/2022,Inactive,RESIGN,6/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
780,75230,Jean Stanton,Mr,,5/8/1999,Male,1,Single,31,12/20/2019,\N,Inactive,Resign,9/9/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
781,3980,Janessa Powlowski,Mr,,4/13/1990,Male,4,Married,31,1/1/2019,3/20/2022,Inactive,RESIGN,3/20/2022,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
782,5288,Dr Amara Leffler,Mr,,10/13/2000,Male,4,Single,31,3/11/2020,0000-00-00,Active,,\N,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
783,4187,Kassandra Gerlach,Mr,,2/24/2000,Male,3,Single,31,1/1/2019,1/9/2022,Inactive,RESIGN,1/9/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
784,4189,Dale Kuhn,Mr,Mullaitivu,1/9/1954,Male,3,Married,31,1/1/2019,5/31/2021,Inactive,RESIGN,5/31/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
785,4277,Dr Garth Gerlach,Mr,,0000-00-00,Male,3,Married,31,1/1/2019,\N,Inactive,Resigned,3/7/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
787,4287,Valentina McKenzie,Mr,Puthukudiyiruppu,3/25/1964,Male,3,Married,1,1/1/2019,6/18/2021,Inactive,RESIGN,6/18/2021,\N,\N,Labour,Contarct Basis,Hindu,Skilled Labor,,,
788,4291,Mr Garrett Bernier,Mr,Puthukudiyiruppu,8/21/1961,Male,4,Married,31,1/1/2019,5/31/2021,Inactive,RESIGN,5/31/2021,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
789,4372,Alexandrea Cormier V,Mr,Puthkudiyirppu,6/6/1996,Male,3,Single,31,1/1/2019,\N,Inactive,Resigned,3/6/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
790,4529,Bruce O'Kon,Mr,Puthkudiyirppu,0000-00-00,Male,4,Married,1,1/1/2019,\N,Inactive,resigned,3/19/2020,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,,,
791,4593,Porter Renner,Mr,Puthukudiyiruppu,2/6/2000,Male,4,Single,31,2/1/2019,\N,Inactive,RESIGN,2/28/2021,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
792,4730,Mrs Rosella Marvin,Mr,Puthukudiyiruppu,10/24/1998,Male,3,Single,31,5/1/2019,10/31/2021,Inactive,RESIGN,10/31/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
793,70035,Ms Laila Hane III,Mr,Mullativu,0000-00-00,Male,4,Single,31,7/1/2019,0000-00-00,Inactive,resigned,3/13/2020,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
794,70036,Jennyfer Waelchi III,Mr,Puthukudiyiruppu,12/31/1966,Male,4,Married,31,7/1/2019,0000-00-00,Inactive,Resign,12/31/2019,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
795,75297,Tevin Wolf,Mr,Puthukudiyiruppu,7/25/1973,Male,3,Married,31,12/20/2019,0000-00-00,Inactive,Resing,7/11/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
796,4805,Gustave Balistreri Sr,Mr,,7/3/1995,Male,3,Single,31,6/1/2019,\N,Inactive,Resigned,7/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
797,4440,Laurine Johnson,Mr,Anuradhapura,11/10/1975,Male,1,Married,31,12/6/2018,3/31/2021,Inactive,RESIGN,3/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
798,4443,Wilfrid Smitham,Mr,Anuradhapura,8/9/1993,Male,1,Married,31,12/15/2018,8/20/2021,Inactive,RESIGN,8/20/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
799,4444,Gage Deckow III,Mr,Medamahanuwara,3/16/1968,Male,1,Married,31,1/1/2019,0000-00-00,Inactive,Resigned,7/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
800,4505,Prof Rafaela Morar,Mr,"Watapana,Putuhapuwa",2/18/1962,Male,1,Married,31,1/1/2019,3/27/2021,Inactive,RESIGN,1/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
801,4506,Amber Mitchell,Mr,Rideegama,5/16/1983,Male,1,Single,31,9/1/2019,9/21/2021,Inactive,RESIGN,9/21/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
802,4786,Dr Cristal Collier Jr,Mr,Galkulama,3/4/1980,Male,1,Married,1,6/1/2019,0000-00-00,Inactive,Resigned,7/26/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
803,75112,Mozell Cremin,Mr,Medirigiriya,9/22/1992,Male,1,Married,31,10/27/2019,\N,Inactive,RESIGNED,5/21/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
804,75113,Dr Ayden White,Mr,Medirigiriya,9/29/1978,Male,1,Married,124,10/27/2019,0000-00-00,Inactive,resigned,5/21/2020,\N,\N,Labour,Contarct Basis,Buddhist,Mason,,,
805,5171,Dave DuBuque DDS,Mr,Anuradhapura,7/19/1995,Male,1,Married,31,2/1/2021,4/22/2021,Inactive,Resign,4/22/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
806,5172,Pinkie Harber,Mr,"Pandukabhayapura,Anuradehapura",5/10/1999,Male,1,Single,31,2/1/2021,4/22/2021,Inactive,Resign,4/22/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
807,5061,Jermey Hodkiewicz,Mr,"Pulleyara handiya,Anuradehapura",5/12/1966,Male,1,Married,31,2/21/2020,12/14/2020,Inactive,RESIGN,12/14/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
808,4972,Katelyn Mitchell,Mr,pallavarajan kaddu,2/2/1985,Male,3,Single,122,6/1/2020,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
809,4973,Libbie Price PhD,Mr,Pallavarajankaddu,7/15/1978,Male,3,Married,31,7/1/2019,10/9/2022,Inactive,Resign,10/9/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
810,5140,Elza Bode,Mr,Pallavarajankaddu,7/23/1960,Male,3,Married,31,7/1/2019,8/20/2021,Inactive,RESIGN,8/20/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
811,70021,Miss Libby Dibbert,Mr,Pallavarajankaddu,9/23/1966,Male,4,Married,31,7/1/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
812,70022,Sarina Weber,Mr,Pallavarajankaddu,2/26/1992,Male,4,Married,1,7/1/2019,\N,Inactive,Resigned,6/13/2020,\N,\N,Labour,Contarct Basis,Catholic,Skilled Labor,,,
813,199061,Sherwood Padberg,Mr,Methirigiriya,10/23/1975,Male,1,Married,30,12/10/2020,12/24/2021,Inactive,RESIGN,12/24/2021,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
814,70041,Dr Noble Bruen,Mr,Pallavarajankaddu,3/21/1981,Male,3,Married,122,7/1/2019,0000-00-00,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
815,70042,Letha Sipes MD,Ms,Mulankavil,5/2/1981,Female,3,Married,31,7/1/2019,\N,Inactive,resigned,5/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
816,5143,Connie Murazik,Mr,Pallavarajankaddu,12/4/1998,Male,3,Single,31,8/1/2019,8/21/2021,Inactive,RESIGN,8/21/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
817,199042,Gerda Hoppe,Mr,Pallavarajankaddu,2/24/1998,Male,3,Single,30,10/18/2019,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
820,5066,Miss Elena Bode III,Mr,Pallavarajankaddu,12/14/1986,Male,3,Married,1,2/8/2020,2/2/2021,Inactive,RESIGN,2/2/2021,\N,\N,Labour,Contarct Basis,Hindu,Skilled Labor,,,
822,195005,Cassandra Funk,Mr,Pallavarajankaddu,7/26/1986,Male,3,Married,31,2/11/2020,1/15/2021,Inactive,Bulk Termination,1/15/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
823,5068,Nolan Mann,Mr,Pallavarajankaddu,12/15/1972,Male,3,Married,31,2/11/2020,12/25/2020,Inactive,RESIGN,12/25/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
825,195010,Prof Jayden Vandervort PhD,Mr,Pallavarajankaddu,1/23/1975,Male,3,Married,31,2/13/2020,\N,Inactive,Resign,3/8/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
826,195011,Miss Fabiola Morissette,Mr,Pallavarajankaddu,6/22/1996,Male,4,Single,31,2/11/2020,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
827,70152,Lowell Lang,Mr,Karavaddy,0000-00-00,Male,3,Married,30,9/6/2019,\N,Inactive,Resign,5/18/2020,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
828,4980,Abigayle Deckow,Mr,Karavaddy,9/25/1981,Male,3,Married,31,6/1/2020,\N,Active,,\N,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
829,75186,Lexie Wunsch,Mr,,0000-00-00,Male,3,Married,122,11/6/2019,1/31/2022,Inactive,Resign,1/31/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
830,199011,Kiley Deckow,Mr,Karavaddy,0000-00-00,Male,3,Single,122,2/10/2020,6/30/2022,Inactive,RESIGN,6/30/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
832,4795,Bella Rosenbaum,Mr,,6/12/1970,Male,1,Married,55,1/6/2019,2/19/2022,Inactive,RESIGN,2/19/2022,\N,\N,Labour,Contarct Basis,Buddhist,Fitter,,,
833,70089,Jacynthe Herzog,Mr,,8/17/1969,Male,1,Married,31,9/27/2019,1/15/2021,Inactive,Bulk Termination,1/15/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
834,75218,Wilber Muller,Mr,Mahaoya,8/13/2000,Male,1,,31,12/26/2019,1/15/2021,Inactive,Bulk Termination,1/15/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
836,193025,Pat Ondricka,Mr,Mahaoya,12/10/1986,Male,1,Married,31,6/8/2020,8/22/2020,Inactive,BUlk Termination,8/22/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
837,189003,Lauren Cassin,Mr,"Kekirihena,Mahaoya",6/14/1996,Male,1,Single,31,1/13/2020,\N,Inactive,RESIGNED,6/3/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
838,189037,Chloe Hammes III,Mr,,6/15/1994,Male,1,Married,31,6/10/2020,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
839,5059,Elwin Luettgen,Mr,,4/20/1997,Male,1,Married,31,2/21/2020,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
841,3293,Evangeline Cummings,Mr,,0000-00-00,Male,4,Married,31,1/1/2019,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Catholic,Unskilled Labor,,,
842,4183,Wilfredo Conn,Mr,,0000-00-00,Male,3,Single,31,1/1/2019,1/12/2022,Inactive,RESIGN,1/12/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
843,75182,Otilia Boyer,Mr,,0000-00-00,Male,3,Single,31,11/29/2019,1/15/2021,Inactive,Bulk TErminaiton,1/15/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
844,70148,Ms Sunny Heidenreich,Mr,,0000-00-00,Male,3,Married,30,9/16/2019,1/15/2021,Inactive,Bulk Termnaiton,1/15/2021,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
845,199001,Della Tremblay,Mr,,0000-00-00,Male,3,Single,31,1/2/2020,\N,Inactive,Resign,5/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
846,75086,Myah Dach,Mr,,0000-00-00,Male,3,Married,122,10/16/2019,10/31/2022,Inactive,resign,10/31/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
847,70145,Dr Ardella Farrell Jr,Mr,,0000-00-00,Male,3,Married,30,9/20/2019,1/15/2021,Inactive,Bulk Terminaiton,1/15/2021,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
848,200013,Joannie Shields,Mr,,0000-00-00,Male,1,Married,1,12/3/2020,3/21/2022,Inactive,RESIGN,3/21/2022,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
849,70013,Karolann Wolf I,Mr,Medirigiriya,3/25/1984,Male,1,Married,1,7/1/2019,\N,Inactive,resign,7/19/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
850,70073,Jewell Bogisich,Mr,,0000-00-00,Male,1,Single,30,8/1/2019,\N,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
851,70100,Mr Duncan Satterfield,Mr,,0000-00-00,Male,1,Single,30,9/1/2019,\N,Inactive,resign,7/21/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
852,70147,Amos Cremin IV,Mr,Navanthurai,4/14/1973,Male,4,Married,122,9/1/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Catholic,Security,,,
853,70149,Raymundo Ortiz,Mr,,5/3/1982,Male,3,Married,30,9/5/2019,\N,Inactive,RESIGN,12/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
854,5162,Prof Sandrine Kulas,Mr,Kayts,8/29/1987,Male,4,Married,38,2/1/2021,8/30/2022,Inactive,Resign,8/30/2022,\N,\N,Labour,Contarct Basis,Catholic,Office Assistant,,,
855,75253,Rebecca Kuvalis III,Mr,,0000-00-00,Male,3,Single,31,12/1/2019,\N,Inactive,Resign,5/19/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
856,4995,Prudence Padberg,Mr,,0000-00-00,Male,3,Married,31,6/1/2020,11/30/2021,Inactive,RESIGN,11/30/2021,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
857,4996,Miss Tara Ernser,Mr,,0000-00-00,Male,3,Single,31,6/1/2020,0000-00-00,Inactive,resign,7/27/2020,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
858,75258,Dr Jadon Rempel,Mr,,12/13/1949,Male,3,Married,122,12/25/2019,10/31/2022,Inactive,Resign,10/31/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
859,75259,Kaylin Aufderhar IV,Mr,,7/9/1995,Male,3,Single,122,12/29/2019,8/31/2022,Inactive,Resign,8/31/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
860,5039,Layne Bins MD,Mr,Madirigiriya,3/7/1966,Male,1,Single,30,1/11/2020,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
861,199003,Charlene Harris,Mr,Medirigiriya,7/13/1966,Male,1,Married,1,1/12/2020,\N,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
863,199005,Mortimer Walter,Mr,,0000-00-00,Male,1,Married,30,1/26/2020,\N,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Semi Skilled Labor,,,
864,199006,Maya King,Mr,,0000-00-00,Male,3,Single,122,1/30/2020,4/24/2021,Inactive,Resign,4/24/2021,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
865,199007,Beulah Bergstrom,Mr,,0000-00-00,Male,4,Single,122,2/1/2020,7/6/2022,Inactive,RESIGN,7/6/2022,\N,\N,Labour,Contarct Basis,Catholic,Security,,,
866,199008,Chanelle Konopelski,Mr,Jaffna,0000-00-00,Male,4,Single,122,2/1/2020,7/6/2022,Inactive,RESIGN,7/6/2022,\N,\N,Labour,Contarct Basis,Catholic,Security,,,
867,199009,Irwin Treutel,Mr,,0000-00-00,Male,3,Married,122,2/1/2020,\N,Inactive,Resign,5/30/2020,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
868,199012,Jena Barton,Mr,,0000-00-00,Male,3,Single,122,2/11/2020,8/31/2022,Inactive,resign,8/31/2022,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
869,199013,Dr Milford Gerlach Sr,Mr,,0000-00-00,Male,3,Single,122,2/11/2020,11/30/2021,Inactive,RESIGN,11/30/2021,\N,\N,Labour,Contarct Basis,Hindu,Security,,,
870,199014,Louvenia Gerlach,Mr,,0000-00-00,Male,3,Married,30,2/13/2020,\N,Inactive,Resign,3/31/2020,\N,\N,Labour,Contarct Basis,Hindu,Semi Skilled Labor,,,
871,5080,Prof Royal Koelpin,Mr,Vallavaddythurai,0000-00-00,Male,3,Single,38,2/15/2020,12/31/2021,Inactive,RESIGN,12/31/2021,\N,\N,Labour,Contarct Basis,Hindu,Office Assistant,,,
872,4976,Antonetta Littel,Ms,Girandurukotte,0000-00-00,Female,1,Married,134,6/1/2020,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Caretaker,,,
873,70096,Prof Nicolas Cronin,Mr,Girandurukotte,12/15/1970,Male,1,Married,31,9/24/2019,\N,Inactive,RESIGNED,6/14/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
875,5144,Prof Marie Sporer Sr,Mr,Girandurukotte,2/26/1989,Male,1,Married,31,9/23/2019,7/26/2021,Inactive,RESIGN,7/26/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
877,70110,Margie Tremblay,Mr,Giradurukotte,10/9/1992,Male,1,Single,31,9/10/2019,11/26/2020,Inactive,RESIGN,11/26/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
878,5148,Dennis Miller,Mr,Giradurukotte,5/9/1984,Male,1,Married,31,9/9/2019,3/14/2022,Inactive,RESIGN,3/14/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
879,70129,Dean Strosin,Mr,Girandurukotte,3/27/1979,Male,1,Married,29,9/2/2019,3/21/2021,Inactive,RESIGN,3/21/2021,\N,\N,Labour,Contarct Basis,Buddhist,Cook,,,
880,75031,Constance McClure,Mr,Girandurukotte,1/14/1963,Male,1,Married,135,10/6/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Wacher,,,
881,4982,Wellington McClure MD,Mr,Girandurukotte,10/2/1972,Male,1,Married,31,6/1/2020,2/28/2022,Inactive,RESIGN,2/28/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
882,75032,Miss Judy Carroll III,Mr,Hoberiyava,6/10/1960,Male,1,Married,135,10/8/2019,4/22/2022,Inactive,RESIGN,4/22/2022,\N,\N,Labour,Contarct Basis,Buddhist,Wacher,,,
885,5176,Mr Eddie Hickle,Mr,Mahaoya,1/8/1975,Male,1,Married,31,2/1/2021,3/1/2022,Inactive,RESIGN,3/1/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
886,75246,Mr Gaston Wintheiser,Mr,Girandurukotte,6/24/1971,Male,1,Married,31,12/13/2019,12/20/2020,Inactive,RESIGN,12/20/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
888,75248,Viva Gusikowski,Mr,,1/17/1977,Male,1,Married,31,12/29/2019,\N,Inactive,resign,7/17/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
889,4997,Danika Collier,Mr,Girandurukotte,2/12/1977,Male,1,Married,31,6/1/2020,0000-00-00,Inactive,Resign,6/1/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
890,5226,Mr Schuyler Fritsch Jr,Mr,Giradurukotte,8/9/1999,Male,1,Married,31,3/1/2021,3/14/2022,Inactive,RESIGN,3/14/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
891,5029,Alyce Littel,Mr,,9/13/1980,Male,1,Married,31,1/23/2020,3/14/2022,Inactive,RESIGN,3/14/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
892,197004,Mr Christ Schinner,Mr,Divulapitiya,6/26/1976,Male,1,Married,31,1/28/2020,\N,Inactive,Resign,3/15/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
893,197005,Mr Walton Lemke,Mr,Giradurukotte,11/6/1983,Male,1,Married,31,1/28/2020,\N,Inactive,resign,7/7/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
894,5030,Dr Destany Rempel,Mr,Girandurukotte,6/11/1963,Male,1,Married,31,1/28/2020,\N,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
895,5031,Eric Luettgen,Mr,Giradurukotte,2/13/1986,Male,1,Married,31,1/28/2020,10/31/2021,Inactive,RESIGN,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
896,5032,Jed Hermann MD,Mr,Giradurukotte,9/27/1980,Male,1,Married,31,1/28/2020,3/14/2022,Inactive,RESIGN,3/14/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
897,5033,Sonia Stoltenberg I,Mr,Giradurukotte,7/30/1982,Male,1,Married,31,1/28/2020,1/28/2021,Inactive,RESIGN,1/28/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
